地域,人数,観光客,商用客,その他客,コード
韓国,8817765,8452682,185779,179304,KOR
中国,6981342,6064115,277983,639244,CHN
台湾,6044316,5867101,93017,84198,TWN
香港,2683391,2637761,23549,22081,HKG
タイ,1148848,1092472,25658,30718,THA
シンガポール,691226,662890,23334,5002,SGP
マレーシア,506883,477923,15718,13242,MYS
インドネシア,517651,398949,15452,103250,IDN
フィリピン,818659,688452,61237,68970,PHL
ベトナム,621173,193117,36066,391990,VNM
インド,233061,140076,49289,43696,IND
イスラエル,59499,54997,3500,1002,ISR
トルコ,62099,55865,3566,2668,TUR
GCC6か国,44661,40408,1857,2396,
マカオ,123779,122165,526,1088,MAC
モンゴル,53049,29645,8128,15276,MNG
その他アジア,345453,89093,28917,227443,
英国,437230,387205,30251,19774,GBR
フランス,385071,342207,22897,19967,FRA
ドイツ,325870,283427,29965,12478,DEU
イタリア,229785,208973,13760,7052,ITA
スペイン,182284,171175,5944,5165,ESP
ロシア,99264,85338,7454,6472,RUS
スウェーデン,52099,45831,3826,2442,SWE
フィンランド,28780,25034,2375,1371,DNK
デンマーク,40950,36606,2805,1539,NOR
ノルウェー,28901,26027,1834,1040,FIN
オランダ,102981,93008,7098,2875,NLD
スイス,72193,66281,4192,1720,CHE
ベルギー,47063,42139,3328,1596,BEL
ポーランド,63828,58293,3504,2031,POL
オーストリア,36820,32253,3051,1516,AUT
ポルトガル,42300,39679,1522,1099,PRT
アイルランド,32995,28935,2452,1608,IRL
その他ヨーロッパ,181844,151444,14375,16025,
アフリカ,51130,26499,9795,14836,
米国,2724594,2537002,123526,64066,USA
カナダ,579445,557338,11576,10531,CAN
メキシコ,151835,145687,3215,2933,MEX
その他北アメリカ,22894,18664,1759,2471,
ブラジル,85609,77830,3434,4345,BRA
その他南アメリカ,70016,61045,4288,4683,
豪州,920196,885303,21645,13248,AUS
ニュージーランド,115012,107517,3777,3718,NZL
その他オセアニア,5753,2710,1347,1696,
無国籍･その他,551,392,31,128,
